Nom,Position,Durée,Genre,Latéralité,Set,Système,Coup,Type de service,Type Coup TK,Zone de jeu
BOLL Timo (133),07:20.6,00:00.6,,Coup droit,SET,,BOLL Timo,,Controle / Résistance,G3
FLORE Tristan (132),07:21.2,00:00.6,,Coup droit,SET,,FLORE Tristan,,Controle / Résistance,M3
BOLL Timo (134),07:21.8,00:00.8,,Revers,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (133),07:22.6,00:00.7,,Coup droit,SET,,FLORE Tristan,,Controle / Résistance,M3
BOLL Timo (135),07:23.3,00:00.8,,Coup droit,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (134),07:24.1,00:01.4,,Revers,SET,,Serveur Point -,,Attaque / Offensif,G3
FLORE Tristan (135),07:26.9,00:02.7,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (136),07:30.0,00:00.7,,Revers,SET,,Serveur Point +,,Controle / Résistance,M2
BOLL Timo (137),07:33.6,00:00.8,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (136),07:34.9,00:00.5,,Revers,SET,,FLORE Tristan,,Poussette,M1
BOLL Timo (138),07:35.4,00:00.6,,Coup droit,SET,,BOLL Timo,,Poussette,G1
FLORE Tristan (137),07:36.0,00:00.6,,Revers,SET,,FLORE Tristan,,Controle / Résistance,M2
BOLL Timo (139),07:36.5,00:00.4,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M3
FLORE Tristan (138),07:37.0,00:00.8,,Coup droit,SET,,Serveur Point +,,Controle / Résistance,M3
BOLL Timo (140),07:40.4,00:00.8,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (139),07:41.9,00:01.2,,Revers,SET,,Serveur Point +,,Controle / Résistance,G3
FLORE Tristan (140),07:45.6,00:02.7,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (141),07:48.3,00:00.4,,Revers,SET,,Serveur Point +,,Controle / Résistance,M1
FLORE Tristan (141),07:50.5,00:02.2,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (142),07:53.5,00:00.7,,Coup droit,SET,,Serveur Point +,,Poussette,G2
BOLL Timo (143),07:57.6,00:00.9,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (142),07:59.0,00:00.5,,Coup droit,SET,,FLORE Tristan,,Poussette,M2
BOLL Timo (144),07:59.5,00:00.7,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (143),08:00.2,00:01.4,,Coup droit,SET,,Serveur Point -,,Attaque / Offensif,M2
BOLL Timo (145),08:04.0,00:00.8,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (144),08:05.6,00:00.7,,Coup droit,SET,,FLORE Tristan,,Poussette,D1
BOLL Timo (146),08:06.2,00:00.5,,Revers,SET,,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (145),08:06.7,00:00.5,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,D3
BOLL Timo (147),08:07.2,00:00.7,,Revers,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (146),08:07.9,00:00.7,,Coup droit,SET,,FLORE Tristan,,Controle / Résistance,D3
BOLL Timo (148),08:08.6,00:00.5,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,D3
FLORE Tristan (147),08:09.0,00:00.6,,Coup droit,SET,,Serveur Point +,,Controle / Résistance,D3
