Nom,Position,Durée,Genre,Latéralité,Set,Système,Coup,Type de service,Type Coup TK,Zone de jeu
FLORE Tristan (189),10:24.3,00:01.1,,Coup droit,SET,,FLORE Tristan,Latéral gauche,,
BOLL Timo (186),10:25.6,00:01.0,,Coup droit,SET,,BOLL Timo,,Controle / Résistance,G2
FLORE Tristan (190),10:26.6,00:00.7,,Coup droit,SET,,Serveur Point -,,Attaque / Offensif,M3
FLORE Tristan (191),10:29.1,00:01.1,,Coup droit,SET,,FLORE Tristan,Latéral gauche,,
FLORE Tristan (192),10:39.7,00:01.1,,Coup droit,SET,,FLORE Tristan,Latéral gauche,,
BOLL Timo (187),10:41.4,00:00.5,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,G2
FLORE Tristan (193),10:41.8,00:00.5,,Revers,SET,,FLORE Tristan,,Attaque / Offensif,G3
BOLL Timo (188),10:42.3,00:00.3,,Revers,SET,,BOLL Timo,,Attaque / Offensif,D3
FLORE Tristan (194),10:42.6,00:00.5,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,G3
BOLL Timo (189),10:43.0,00:00.3,,Revers,SET,,Serveur Point +,,Attaque / Offensif,D3
BOLL Timo (190),10:46.7,00:00.6,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (195),10:48.0,00:00.6,,Coup droit,SET,,FLORE Tristan,,Poussette,M1
BOLL Timo (191),10:48.6,00:00.3,,Revers,SET,,Serveur Point -,,Attaque / Offensif,D2
BOLL Timo (192),10:52.2,00:00.9,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (196),10:53.8,00:00.5,,Coup droit,SET,,FLORE Tristan,,Poussette,M1
BOLL Timo (193),10:54.2,00:01.0,,Revers,SET,,Serveur Point -,,Controle / Résistance,M1
FLORE Tristan (197),10:57.4,00:02.5,,Coup droit,SET,,FLORE Tristan,Latéral gauche,,
FLORE Tristan (198),11:07.5,00:02.2,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (195),11:09.9,00:00.0,,Revers,SET,,Serveur Point +,,Controle / Résistance,D3
FLORE Tristan (199),11:16.5,00:02.1,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (196),11:19.0,00:00.7,,Coup droit,SET,,Serveur Point +,,Poussette,M1
BOLL Timo (197),11:28.6,00:00.6,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (200),11:29.8,00:00.8,,Revers,SET,,FLORE Tristan,,Poussette,G1
BOLL Timo (198),11:30.6,00:00.4,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (201),11:31.0,00:00.6,,Revers,SET,,FLORE Tristan,,Attaque / Offensif,G2
BOLL Timo (199),11:31.5,00:01.0,,Revers,SET,,Serveur Point -,,Controle / Résistance,D3
BOLL Timo (200),11:35.9,00:00.7,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (202),11:37.0,00:00.9,,Revers,SET,,FLORE Tristan,,Controle / Résistance,G3
BOLL Timo (201),11:37.9,00:00.5,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M3
FLORE Tristan (203),11:38.5,00:01.0,,Revers,SET,,FLORE Tristan,,Controle / Résistance,G3
BOLL Timo (202),11:39.5,00:00.7,,Coup droit,SET,,Serveur Point +,,Controle / Résistance,D3
FLORE Tristan (205),11:43.3,00:02.0,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (203),11:45.7,00:00.0,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (206),11:46.5,00:01.4,,Coup droit,SET,,FLORE Tristan,,Controle / Résistance,D3
BOLL Timo (204),11:48.0,00:01.2,,Coup droit,SET,,BOLL Timo,,Controle / Résistance,D3
